"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/30/2016","AQS","110010041","1","0.051","ppm","47","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/01/2016","AQS","110010041","1","0.048","ppm","44","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/02/2016","AQS","110010041","1","0.036","ppm","33","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/03/2016","AQS","110010041","1","0.034","ppm","31","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/04/2016","AQS","110010041","1","0.029","ppm","27","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/05/2016","AQS","110010041","1","0.039","ppm","36","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/06/2016","AQS","110010041","1","0.053","ppm","49","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/07/2016","AQS","110010041","1","0.052","ppm","48","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/08/2016","AQS","110010041","1","0.054","ppm","50","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/09/2016","AQS","110010041","1","0.049","ppm","45","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/10/2016","AQS","110010041","1","0.038","ppm","35","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/11/2016","AQS","110010041","1","0.055","ppm","51","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/12/2016","AQS","110010041","1","0.048","ppm","44","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/13/2016","AQS","110010041","1","0.043","ppm","40","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/14/2016","AQS","110010041","1","0.044","ppm","41","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/15/2016","AQS","110010041","1","0.046","ppm","43","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/16/2016","AQS","110010041","1","0.06","ppm","67","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/17/2016","AQS","110010041","1","0.053","ppm","49","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/18/2016","AQS","110010041","1","0.048","ppm","44","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/19/2016","AQS","110010041","1","0.057","ppm","58","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/20/2016","AQS","110010041","1","0.068","ppm","93","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/21/2016","AQS","110010041","1","0.073","ppm","108","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/22/2016","AQS","110010041","1","0.063","ppm","77","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/23/2016","AQS","110010041","1","0.052","ppm","48","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/24/2016","AQS","110010041","1","0.05","ppm","46","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/25/2016","AQS","110010041","1","0.065","ppm","84","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"07/26/2016","AQS","110010041","1","0.058","ppm","61","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
